#IID	PAT	MAT	SEX	SuperPop	Population
E001118	0	0	M	CA	CENCAL
E001164	0	0	M	CA	CENCAL
E001113	0	0	M	CA	CENCAL
E001160	0	0	M	CA	CENCAL
E001127	0	0	F	CA	CENCAL
E001137	0	0	F	CA	CENCAL
E001177	0	0	M	CA	CENCAL
E001139	0	0	M	CA	CENCAL
E001124	0	0	F	CA	CENCAL
E001102	0	0	F	CA	CENCAL
E001147	0	0	M	CA	CENCAL
E001170	0	0	F	CA	CENCAL
E001104	0	0	M	CA	CENCAL
E001095	0	0	M	CA	CENCAL
E001101	0	0	F	CA	CENCAL
E001094	0	0	M	CA	CENCAL
E001126	0	0	M	CA	CENCAL
E001176	0	0	M	CA	CENCAL
E001172	0	0	F	CA	CENCAL
E001148	0	0	M	CA	CENCAL
E001149	0	0	M	CA	CENCAL
E001168	0	0	M	CA	CENCAL
E001150	0	0	M	CA	CENCAL
E001167	0	0	F	CA	CENCAL
E001141	0	0	M	CA	CENCAL
E001097	0	0	F	CA	CENCAL
E001145	0	0	M	CA	CENCAL
E001128	0	0	F	CA	CENCAL
E001093	0	0	F	CA	CENCAL
E001154	0	0	F	CA	CENCAL
E001146	0	0	F	CA	CENCAL
E001140	0	0	F	CA	CENCAL
E001115	0	0	M	CA	CENCAL
E001175	0	0	F	CA	CENCAL
E001114	0	0	F	CA	CENCAL
E001171	0	0	F	CA	SOCAL
E001173	0	0	F	CA	SOCAL
E001151	0	0	F	CA	SOCAL
E001100	0	0	F	CA	SOCAL
E001105	0	0	F	CA	SOCAL
E001136	0	0	M	CA	SOCAL
E001121	0	0	M	CA	SOCAL
E001120	0	0	M	CA	SOCAL
E001107	0	0	M	CA	SOCAL
E001174	0	0	M	CA	SOCAL
E001142	0	0	F	CA	SOCAL
E001181	0	0	F	CA	SOCAL
E001134	0	0	M	CA	SOCAL
E001117	0	0	F	CA	SOCAL
E001165	0	0	M	CA	SOCAL
E001103	0	0	F	CA	SOCAL
E001096	0	0	M	CA	SOCAL
E001109	0	0	M	CA	SOCAL
E001110	0	0	M	CA	SOCAL
