E001188_E014_12H	E001188
E001187_E014_12G	E001187
E001183_E014_12C	E001183
E001184_E014_12D	E001184
E001186_E014_12F	E001186
E001185_E014_12E	E001185
E001118_E014_4B	E001118
E001164_E014_9H	E001164
E001113_E014_3E	E001113
E001160_E014_9D	E001160
E001127_E014_5C	E001127
E001137_E014_6E	E001137
E001177_E014_11E	E001177
E001139_E014_6G	E001139
E001124_E014_4H	E001124
E001102_E014_2B	E001102
E001147_E014_7G	E001147
E001170_E014_10F	E001170
E001104_E014_2D	E001104
E001095_E014_1C	E001095
E001101_E014_2A	E001101
E001094_E014_1B	E001094
E001126_E014_5B	E001126
E001176_E014_11D	E001176
E001172_E014_10H	E001172
E001148_E014_7H	E001148
E001149_E014_8A	E001149
E001168_E014_10D	E001168
E001150_E014_8B	E001150
E001167_E014_10C	E001167
E001141_E014_7A	E001141
E001097_E014_1E	E001097
E001145_E014_7E	E001145
E001128_E014_5D	E001128
E001093_E014_1A	E001093
E001154_E014_8F	E001154
E001146_E014_7F	E001146
E001140_E014_6H	E001140
E001115_E014_3G	E001115
E001175_E014_11C	E001175
E001114_E014_3F	E001114
E001171_E014_10G	E001171
E001173_E014_11A	E001173
E001151_E014_8C	E001151
E001100_E014_1H	E001100
E001105_E014_2E	E001105
E001136_E014_6D	E001136
E001121_E014_4E	E001121
E001120_E014_4D	E001120
E001107_E014_2G	E001107
E001174_E014_11B	E001174
E001142_E014_7B	E001142
E001181_E014_12A	E001181
E001134_E014_6B	E001134
E001117_E014_4A	E001117
E001165_E014_10A	E001165
E001103_E014_2C	E001103
E001096_E014_1D	E001096
E001109_E014_3A	E001109
E001110_E014_3B	E001110
NA	NA
NA	NA
NA	NA
